 Temperature = 24.8 Pressure = 100936.44 Altitude =32.40
 Temperature = 24.9 Pressure = 100934.92 Altitude =32.53
 Temperature = 24.8 Pressure = 100934.64 Altitude =32.55
 Temperature = 24.9 Pressure = 100935.97 Altitude =32.44
 Temperature = 24.9 Pressure = 100942.72 Altitude =31.88
 Temperature = 24.9 Pressure = 100935.68 Altitude =32.46
 Temperature = 24.9 Pressure = 100942.72 Altitude =31.88
 Temperature = 24.9 Pressure = 100938.82 Altitude =32.20
 Temperature = 24.9 Pressure = 100938.82 Altitude =32.20
 Temperature = 24.9 Pressure = 100933.88 Altitude =32.61
 Temperature = 24.9 Pressure = 100940.63 Altitude =32.05
 Temperature = 24.9 Pressure = 100934.92 Altitude =32.53
 Temperature = 24.9 Pressure = 100934.92 Altitude =32.53
 Temperature = 24.9 Pressure = 100934.92 Altitude =32.53
 Temperature = 24.9 Pressure = 100939.87 Altitude =32.11
 Temperature = 24.9 Pressure = 100936.73 Altitude =32.38
 Temperature = 24.9 Pressure = 100942.72 Altitude =31.88
 Temperature = 24.9 Pressure = 100931.02 Altitude =32.85
 Temperature = 24.9 Pressure = 100934.92 Altitude =32.53
 Temperature = 24.9 Pressure = 100934.92 Altitude =32.53
 Temperature = 24.9 Pressure = 100937.01 Altitude =32.35
 Temperature = 24.9 Pressure = 100933.11 Altitude =32.68
 Temperature = 24.9 Pressure = 100939.11 Altitude =32.18
 Temperature = 24.9 Pressure = 100927.12 Altitude =33.18
 Temperature = 24.9 Pressure = 100937.01 Altitude =32.35
 Temperature = 24.9 Pressure = 100929.21 Altitude =33.00
 Temperature = 24.9 Pressure = 100938.06 Altitude =32.27
 Temperature = 24.9 Pressure = 100942.72 Altitude =31.88
 Temperature = 24.9 Pressure = 100937.01 Altitude =32.35
 Temperature = 24.9 Pressure = 100937.01 Altitude =32.35
 Temperature = 24.9 Pressure = 100937.01 Altitude =32.35
 Temperature = 24.9 Pressure = 100937.01 Altitude =32.35
 Temperature = 24.9 Pressure = 100945.86 Altitude =31.61
 Temperature = 24.9 Pressure = 100944.81 Altitude =31.70
 Temperature = 24.9 Pressure = 100939.11 Altitude =32.18
 Temperature = 24.9 Pressure = 100931.31 Altitude =32.83
 Temperature = 24.9 Pressure = 100937.01 Altitude =32.35
 Temperature = 24.9 Pressure = 100939.11 Altitude =32.18
